_id,ID_EQ_SAUDE,CATEGORIA,SIGLA_CATEGORIA,NOME,TIPO_LOGRADOURO,LOGRADOURO,NUMERO_IMOVEL,TELEFONE,NOME_BAIRRO_POPULAR,GEOMETRIA
295,799,SERVICO DE RESIDENCIA TERAPEUTICA,SRT,SERVICO DE RESIDENCIA TERAPEUTICA SANTA MONICA,RUA,JOSE MARIA BOTELHO,330,34502788,SANTA MÔNICA,POINT (607745.821522519 7807565.70699968)
296,243,CENTRO DE ESPECIALIDADES MEDICAS,CEM,CENTRO DE ESPECIALIDADES MEDICAS NOROESTE - PADRE EUSTAQUIO,RUA,PADRE EUSTAQUIO,1951,,PADRE EUSTÁQUIO,POINT (607730.702358515 7797580.86601188)
297,239,CENTRAL DE ESTERILIZACAO,CEST,CENTRAL DE ESTERILIZACAO NOROESTE,RUA,PADRE EUSTAQUIO,1951,,PADRE EUSTÁQUIO,POINT (607730.702358515 7797580.86601188)
298,662,CENTRO DE REABILITACAO,CREAB,CENTRO DE REABILITACAO NOROESTE,RUA,PADRE EUSTAQUIO,1951,,PADRE EUSTÁQUIO,POINT (607730.702358515 7797580.86601188)
299,240,FARMACIA DISTRITAL,FARMACIA,FARMACIA DISTRITAL NOROESTE,RUA,PADRE EUSTAQUIO,1951,,PADRE EUSTÁQUIO,POINT (607730.702358515 7797580.86601188)
300,241,LABORATORIO,LABORATORIO,LABORATORIO DISTRITAL NOROESTE,RUA,PADRE EUSTAQUIO,1951,,PADRE EUSTÁQUIO,POINT (607730.702358515 7797580.86601188)
301,242,UNIDADE DE REFERENCIA SECUNDARIA,URS,UNIDADE DE REFERENCIA SECUNDARIA PADRE EUSTAQUIO,RUA,PADRE EUSTAQUIO,1951,,PADRE EUSTÁQUIO,POINT (607730.702358515 7797580.86601188)
302,301,CENTRO DE REFERENCIA EM SAUDE MENTAL,CERSAM,CENTRO DE REFERENCIA EM SAUDE MENTAL NORTE,RUA,PARNAIBA,568,,MINASLÂNDIA,POINT (611759.866020533 7804652.77418005)
303,258,CENTRO DE SAUDE,CS,CENTRO DE SAUDE VILA CEMIG,RUA,COLETIVO,68,"32775940, 32775882, 32771366, 32775941",VILA CEMIG,POINT (605401.713112184 7788430.98844293)
304,184,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SANTA ROSA,AVE,BUENO SIQUEIRA,100,"32771578, 32771579",SANTA ROSA,POINT (610616.516978464 7802939.89519702)
305,423,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SAO JOSE OPERARIO,RUA,SIMAO PEREIRA,73,"32775784, 32775693, 32775733",NOVA VISTA,POINT (615325.124955103 7800573.84679932)
306,441,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MANGUEIRAS,RUA,CHAFARIZ,4,"32462004, 32462003, 32462019",PETRÓPOLIS,POINT (601365.875325809 7786688.99302105)
307,313,CENTRO DE SAUDE,CS,CENTRO DE SAUDE SERRANO,RUA,SAO JOSE DA SAFIRA,99,"32777160, 32778400, 32773011",CONJUNTO CELSO MACHADO,POINT (603626.179260097 7800980.4011935)
308,460,CENTRAL DE ESTERILIZACAO,CEST,CENTRAL DE ESTERILIZACAO BARREIRO,RUA,AZARIAS DUARTE,200,,DIAMANTE,POINT (602536.743986615 7788555.43311258)
309,312,ACADEMIA DA CIDADE,ACADEMIA,ACADEMIA DA CIDADE PARAUNA,RUA,JOAO FERREIRA DA SILVA,1700,,MARIA HELENA,POINT (605589.009219523 7810200.80725942)
310,448,CENTRO DE SAUDE,CS,CENTRO DE SAUDE PARAUNA - VENDA NOVA,RUA,JOAO FERREIRA DA SILVA,248,"32772802, 32775569, 32775568",MANTIQUEIRA,POINT (605880.062785638 7810068.37421578)
311,293,FARMACIA DISTRITAL,FARMACIA,FARMACIA DISTRITAL,AVE,PORTUGAL,4832,,JARDIM ATLÂNTICO,POINT (609203.426641464 7805402.15401138)
312,222,CENTRO DE SAUDE,CS,CENTRO DE SAUDE JARDIM ALVORADA,RUA,ENGENHO DO SOL,580,"32777130, 32778432, 32778456",ENGENHO NOGUEIRA,POINT (606398.817564551 7799948.78504249)
313,189,CENTRO DE CONVIVENCIA,CC,CENTRO DE CONVIVENCIA BARREIRO,RUA,PINHEIRO CHAGAS,252,,BARREIRO,POINT (603245.779400093 7790523.02261544)
314,187,CENTRO DE REFERENCIA EM SAUDE DO TRABALHADOR,CERSAT,CENTRO DE REFERENCIA EM SAUDE DO TRABALHADOR BARREIRO,RUA,PINHEIRO CHAGAS,125,,BARREIRO,POINT (603220.508484174 7790653.40137439)
315,337,CENTRO DE SAUDE,CS,CENTRO DE SAUDE MIRAMAR - EDUARDO MAURO DE ARAUJO,RUA,ERIDANO,540,"32775936, 32775937",MIRAMAR,POINT (603393.726338451 7788476.94908778)
316,235,CENTRO DE SAUDE,CS,CENTRO DE SAUDE INDEPENDENCIA,RUA,MARIA ANTONIETA FERREIRA,151,"32775850, 32775851, 32779116",INDEPENDÊNCIA,POINT (601300.733155871 7786035.53603033)
