ID_EQUIP_EDUCACAO,NOME,DEPENDENCIA_ADM,CODIGO_INEP,TIPO_LOGRADOURO,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,REGIONAL,GEOMETRIA
1981876,ESCOLA MUNICIPAL ULYSSES GUIMARAES,Municipal,31231983,RUA,BOLIVIA,532,,Santa Rita de Cássia,CENTRO-SUL,POINT (610930.996988224 7793592.23788557)
1983049,EMEI MIRAMAR,EMEIS,31357359,RUA,TRES MARIAS,151,,Miramar,BARREIRO,POINT (603334.273801077 7788792.84478812)
1981737,ESCOLA MUNICIPAL DULCE MARIA HOMEM,Municipal,31212776,RUA,TRES MARIAS,221,,Miramar,BARREIRO,POINT (603275.983927749 7788781.40711623)
1982180,ESCOLA MUNICIPAL ZILDA ARNS,Municipal,31346900,RUA,ERVA MATE,46,,Piratininga,VENDA NOVA,POINT (605549.239512483 7808339.81605878)
1983222,CASA FELIX,Creches Conveniadas,31375551,RUA,CANTORA MAYSA,30,,Lajedo,NORTE,POINT (614001.756778243 7806604.10767449)
1981955,ESCOLA MUNICIPAL LUIZ GONZAGA JUNIOR,Municipal,31217832,RUA,MARIA PEREIRA DAMASCENO,65,,Ernesto do Nascimento,BARREIRO,POINT (601228.647985035 7787269.26490839)
1982540,CRECHE SONHO DE CRIANÇA,Creches Conveniadas,31315109,RUA,ALCIDES LINS,112,,Venda Nova,VENDA NOVA,POINT (608804.880249107 7808545.33422616)
1981761,ESCOLA MUNICIPAL LIDIA ANGELICA,Municipal,31003581,RUA,CORONEL INDIO DO BRASIL,64,,Itapoã,PAMPULHA,POINT (609071.468395195 7806056.1808861)
1982509,CENTRO COMUNITÁRIO INFANTIL CAMINHANDO COM JESUS DO BAIRRO CAMARGOS,Creches Conveniadas,31281824,RUA,JOSE MOREIRA MOTA,577,,Camargos,OESTE,POINT (602336.806999971 7794495.23408331)
1981792,CRECHE CRIANÇAS DE SANTO ANTÔNIO,Creches Conveniadas,31281549,AVENIDA,DO CONTORNO,6738,,Lourdes,CENTRO-SUL,POINT (610734.564485405 7794922.20717418)
1981946,ESCOLA MUNICIPAL MARCONI,Municipal,31002674,AVENIDA,DO CONTORNO,8476,,Santo Agostinho,CENTRO-SUL,POINT (609374.173339301 7795778.18294279)
